timestamp,sensor_id,location_id,temperature,humidity,soil_moisture,soil_ph,light_intensity
2026-07-01 08:00:00,S001,L001,27.3,72,41,6.5,23500
2026-07-01 08:05:00,S001,L001,27.5,71,40,6.5,23720
2026-07-01 08:10:00,S001,L001,27.6,70,39,6.6,23910
2026-07-01 08:15:00,S001,L001,27.8,70,39,6.6,24100
2026-07-01 08:20:00,S001,L001,28.1,69,38,6.6,24420
2026-07-01 08:25:00,S001,L001,28.2,68,38,6.5,24610
2026-07-01 08:30:00,S001,L001,28.4,68,37,6.5,24800
2026-07-01 08:35:00,S001,L001,28.5,67,37,6.5,25000
2026-07-01 08:40:00,S001,L001,28.7,67,36,6.4,25200
2026-07-01 08:45:00,S001,L001,28.8,66,36,6.4,25500
