species_id,scientific_name,life_cycle,environment_type,watering_interval_days,recommended_soil,recommended_sunlight,temperature,humidity,soil_moisture,soil_ph,rainfall,rain_probability,wind_speed,season,month,hour,plant_age_days,latitude,longitude,heat_index,water_stress,dryness_index,evaporation_risk,watering_needed
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,22.82,91.5,63.52,0.2583333333333328,4.79,63.7,0.888888888888889,Wet,1,0,26,-6.928572,107.628559,31.97,0.3536887786732795,13.67,30.206666666666667,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,25.36,89.2,55.37,0.9333333333333328,2.99,63.2,1.1694444444444445,Wet,1,3,26,-6.928572,107.628559,34.28,0.4498846904381763,16.439999999999998,35.38333333333333,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,25.46,87.8,54.33,0.4499999999999993,2.76,45.6,1.2472222222222222,Wet,1,6,26,-6.928572,107.628559,34.24,0.4601482016988975,16.68,36.263333333333335,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,29.9,80.2,58.32,0.958333333333333,2.76,45.0,1.8277777777777773,Wet,1,9,26,-6.928572,107.628559,37.92,0.5040458530006743,21.88,40.42666666666667,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,31.08,74.0,44.04,0.4249999999999989,0.0,49.1,2.1222222222222222,Wet,1,12,26,-6.928572,107.628559,38.48,0.6900532859680284,23.68,48.04,1
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,28.65,79.8,41.07,0.333333333333333,0.0,40.7,1.6249999999999998,Wet,1,15,26,-6.928572,107.628559,36.63,0.6810078440694081,20.67,45.47666666666667,1
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,22.56,91.4,68.4,1.0,9.3,57.5,1.3833333333333335,Wet,1,18,26,-6.928572,107.628559,31.7,0.32507204610951,13.419999999999998,28.44,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,22.59,89.1,68.23,0.8499999999999988,5.73,53.4,1.1666666666666667,Wet,1,21,26,-6.928572,107.628559,31.5,0.3263036255958399,13.68,29.28333333333333,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,25.15,86.2,48.51,0.6249999999999991,0.0,44.0,1.0888888888888888,Wet,1,0,26,-6.928572,107.628559,33.77,0.507978186225005,16.529999999999998,38.53,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,23.56,87.8,62.31,0.3916666666666657,2.26,60.6,1.3305555555555555,Wet,1,3,26,-6.928572,107.628559,32.34,0.3721371031432632,14.78,32.336666666666666,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,24.68,89.4,60.11,0.6999999999999993,4.94,44.0,1.2166666666666666,Wet,1,6,26,-6.928572,107.628559,33.620000000000005,0.4038618883979709,15.739999999999998,33.28333333333333,0
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,28.84,81.4,38.67,0.3416666666666659,0.0,35.2,2.0166666666666666,Wet,1,9,26,-6.928572,107.628559,36.98,0.7269977312830854,20.7,45.870000000000005,1
3000,solanum lycopersicum,annual,outdoor,2,well-drained loam,full sun,31.12,68.0,39.5,0.5499999999999998,0.0,22.2,1.6194444444444445,Wet,1,12,26,-6.928572,107.628559,37.92,0.7683950617283951,24.32,51.580000000000005,1
