timestamp,sensor_id,location_id,temperature_c,humidity_pct,soil_moisture_pct,ph,light_lux,watering_amount_liters,future_height_cm,growth_rate,disease_name,disease_risk,yield_kg
2026-01-01 00:00:00,S2000,2000,23.04,93.2,65.11,6.31,570,0.0,11.25,0.42,none,38.12,3.38
2026-01-01 00:00:00,S2004,2004,24.09,84.4,87.3,7.04,0,0.0,17.77,0.35,none,42.17,0.42
2026-01-01 00:00:00,S2019,2019,24.1,89.6,57.99,6.2,0,0.0,7.45,0.35,none,31.67,0.38
2026-01-01 00:00:00,S2006,2006,23.45,86.7,65.65,6.47,194,0.0,8.11,0.28,none,33.19,1.91
2026-01-01 00:00:00,S2012,2012,24.24,92.5,60.05,7.1,0,0.0,14.84,0.24,none,35.02,0.62
2026-01-01 00:00:00,S2003,2003,24.04,84.6,66.63,6.72,2134,0.0,7.17,0.31,none,31.99,1.36
2026-01-01 00:00:00,S2015,2015,22.55,92.0,70.17,7.05,0,0.0,14.87,0.42,none,39.69,3.93
2026-01-01 00:00:00,S2008,2008,22.87,92.9,56.49,7.05,2128,0.0,24.65,0.31,none,33.57,1.33
2026-01-01 00:00:00,S2014,2014,25.17,82.6,57.9,7.01,0,0.0,26.76,0.35,none,26.03,0.54
2026-01-01 00:00:00,S2009,2009,25.31,89.4,48.87,6.95,1838,0.0,19.61,0.35,none,26.96,0.46
2026-01-01 00:00:00,S2010,2010,24.71,83.8,59.56,6.66,0,0.0,17.81,0.42,none,27.82,3.32
2026-01-01 00:00:00,S2001,2001,23.74,93.6,51.15,7.1,1737,0.0,8.5,0.28,none,31.45,1.87
2026-01-01 00:00:00,S2013,2013,24.75,88.3,77.72,6.75,0,0.0,23.75,0.31,none,40.5,1.26
2026-01-01 00:00:00,S2005,2005,22.77,92.8,60.93,7.14,0,0.0,23.98,0.42,none,35.7,3.8
2026-01-01 00:00:00,S2007,2007,23.6,90.6,55.96,6.35,315,0.0,12.48,0.24,none,31.46,0.77
2026-01-01 00:00:00,S2016,2016,25.62,85.9,44.72,6.24,2375,0.0,11.87,0.28,none,22.08,2.59
2026-01-01 00:00:00,S2018,2018,23.18,84.6,51.95,6.14,0,0.0,17.8,0.31,none,24.65,1.59
2026-01-01 00:00:00,S2011,2011,24.45,85.5,58.19,7.05,0,0.0,13.81,0.28,none,28.5,2.41
2026-01-01 00:00:00,S2017,2017,23.59,88.4,53.29,6.58,921,0.0,18.52,0.24,none,28.37,0.84
2026-01-01 00:00:00,S2002,2002,25.63,86.3,59.46,6.64,1709,0.0,6.68,0.24,none,29.77,0.62
2026-01-01 03:00:00,S2006,2006,22.78,87.5,60.76,6.41,2160,0.0,8.11,0.28,none,31.38,2.84
2026-01-01 03:00:00,S2018,2018,22.85,90.0,63.18,6.49,0,0.0,17.8,0.31,none,34.59,1.38
2026-01-01 03:00:00,S2019,2019,24.25,93.1,53.9,6.83,1002,0.0,7.45,0.35,none,32.43,0.62
2026-01-01 03:00:00,S2008,2008,24.51,89.3,60.19,6.92,0,0.0,24.65,0.31,none,32.53,1.29
2026-01-01 03:00:00,S2015,2015,24.77,89.5,63.28,6.72,1481,0.0,14.87,0.42,none,34.24,3.45
2026-01-01 03:00:00,S2002,2002,23.71,90.6,65.27,6.75,0,0.0,6.68,0.24,none,36.11,0.64
2026-01-01 03:00:00,S2011,2011,24.84,84.8,48.57,6.19,2346,0.0,13.81,0.28,none,23.12,2.36
2026-01-01 03:00:00,S2005,2005,23.79,89.4,59.75,6.46,879,0.0,23.98,0.42,none,32.4,4.47
2026-01-01 03:00:00,S2003,2003,22.48,90.8,63.35,6.97,0,0.0,7.17,0.31,none,35.31,1.89
2026-01-01 03:00:00,S2004,2004,22.41,94.0,60.04,6.33,556,0.0,17.77,0.35,none,36.22,0.59
2026-01-01 03:00:00,S2016,2016,25.74,84.2,75.42,6.62,2212,0.0,11.87,0.28,none,36.07,2.08
2026-01-01 03:00:00,S2014,2014,24.41,88.6,61.89,6.95,0,0.0,26.76,0.35,none,32.82,0.51
2026-01-01 03:00:00,S2000,2000,25.53,88.4,50.53,7.12,1677,0.0,11.25,0.42,none,26.99,3.06
2026-01-01 03:00:00,S2012,2012,24.93,87.2,55.08,6.87,0,0.0,14.84,0.24,none,28.3,0.66
2026-01-01 03:00:00,S2013,2013,25.39,85.6,65.6,7.08,185,0.0,23.75,0.31,none,32.28,1.8
2026-01-01 03:00:00,S2001,2001,25.65,82.2,52.94,7.04,243,0.0,8.5,0.28,none,23.23,2.97
